YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-04,WEEKDAY,16,TRAIN,NE7/DT12,30242,24316
2026-04,WEEKDAY,17,TRAIN,CC5,12018,4276
2026-04,WEEKDAY,19,TRAIN,NS12,18665,59964
2026-04,WEEKDAY,22,TRAIN,TE14/NS22,60044,11840
2026-04,WEEKDAY,13,TRAIN,CC26,3602,5965
2026-04,WEEKENDS/HOLIDAY,13,TRAIN,NS24/NE6/CC1,20186,24770
2026-04,WEEKDAY,8,TRAIN,EW11,26356,47805
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,BP7,439,225
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,NS19,17806,18882
2026-04,WEEKENDS/HOLIDAY,12,TRAIN,CC21,5238,6650
2026-04,WEEKDAY,20,TRAIN,NS17/CC15,19402,28904
2026-04,WEEKDAY,11,TRAIN,EW30,2209,1121
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,PE7,2720,1363
2026-04,WEEKDAY,18,TRAIN,DT27,41031,22787
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,DT3,3746,2122
2026-04,WEEKENDS/HOLIDAY,18,TRAIN,NS10,16508,20326
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,NE4/DT19,33859,29953
2026-04,WEEKDAY,0,TRAIN,NE11,96,347
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,NS7,19103,14597
2026-04,WEEKDAY,8,TRAIN,TE13,3900,13843
2026-04,WEEKDAY,9,TRAIN,DT20,8839,12044
2026-04,WEEKDAY,8,TRAIN,NE10,44923,39571
2026-04,WEEKDAY,16,TRAIN,DT28,9214,8522
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,DT7,1758,2062
2026-04,WEEKDAY,7,TRAIN,DT28,35896,28970
2026-04,WEEKDAY,6,TRAIN,CC7,6121,2368
2026-04,WEEKDAY,0,TRAIN,TE3,78,1634
2026-04,WEEKDAY,15,TRAIN,DT27,8075,7187
2026-04,WEEKDAY,10,TRAIN,NE10,15441,10171
2026-04,WEEKENDS/HOLIDAY,12,TRAIN,EW33,2266,1176
2026-04,WEEKDAY,7,TRAIN,NS19,66542,55735
