YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,64081,238,306
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,44501,4,129
2026-04,WEEKENDS/HOLIDAY,23.0,BUS,10119,75,86
2026-04,WEEKDAY,13.0,BUS,70089,977,456
2026-04,WEEKDAY,5.0,BUS,47051,8,96
2026-04,WEEKDAY,13.0,BUS,10321,915,393
2026-04,WEEKENDS/HOLIDAY,14.0,BUS,84419,295,417
2026-04,WEEKDAY,20.0,BUS,54509,972,142
2026-04,WEEKDAY,8.0,BUS,40101,461,5000
2026-04,WEEKDAY,23.0,BUS,66421,58,1330
2026-04,WEEKENDS/HOLIDAY,19.0,BUS,14221,274,319
2026-04,WEEKDAY,11.0,BUS,28321,1185,763
2026-04,WEEKDAY,13.0,BUS,26299,26,171
2026-04,WEEKDAY,8.0,BUS,65341,1528,162
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,70299,255,267
2026-04,WEEKDAY,10.0,BUS,67089,534,107
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,18221,0,1
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,59369,0,20
2026-04,WEEKENDS/HOLIDAY,18.0,BUS,76449,297,285
2026-04,WEEKDAY,9.0,BUS,68069,37,23
2026-04,WEEKDAY,14.0,BUS,71171,59,80
2026-04,WEEKDAY,20.0,BUS,99089,23,16
2026-04,WEEKDAY,8.0,BUS,17259,2754,1747
2026-04,WEEKENDS/HOLIDAY,15.0,BUS,22259,391,97
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,28309,12,13
2026-04,WEEKDAY,8.0,BUS,1121,1174,764
2026-04,WEEKENDS/HOLIDAY,18.0,BUS,32139,91,0
2026-04,WEEKENDS/HOLIDAY,11.0,BUS,84269,345,65
2026-04,WEEKENDS/HOLIDAY,11.0,BUS,77021,496,437
2026-04,WEEKENDS/HOLIDAY,8.0,BUS,26349,281,15
2026-04,WEEKDAY,6.0,BUS,11059,622,1254
2026-04,WEEKENDS/HOLIDAY,17.0,BUS,11279,117,50
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,27451,80,144
2026-04,WEEKENDS/HOLIDAY,14.0,BUS,59471,394,541
2026-04,WEEKENDS/HOLIDAY,7.0,BUS,58281,238,42
2026-04,WEEKDAY,10.0,BUS,83111,1277,560
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,71181,0,12
2026-04,WEEKDAY,10.0,BUS,45121,15,104
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,53119,22,8
2026-04,WEEKDAY,17.0,BUS,94041,195,512
2026-04,WEEKENDS/HOLIDAY,5.0,BUS,52299,29,1
2026-04,WEEKENDS/HOLIDAY,14.0,BUS,84331,163,111
2026-04,WEEKDAY,18.0,BUS,84571,291,931
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,95039,88,207
2026-04,WEEKENDS/HOLIDAY,18.0,BUS,52141,24,93
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,12211,3,51
2026-04,WEEKDAY,14.0,BUS,65241,619,313
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,25791,5,38
2026-04,WEEKENDS/HOLIDAY,7.0,BUS,64489,514,195
2026-04,WEEKDAY,16.0,BUS,57131,438,575
2026-04,WEEKDAY,19.0,BUS,17011,230,606
2026-04,WEEKDAY,23.0,BUS,16079,33,39
2026-04,WEEKDAY,6.0,BUS,97171,15,3727
2026-04,WEEKENDS/HOLIDAY,5.0,BUS,47581,7,1
